n_tokens,n_chars,n_lines,valid_chunk
179,643,15,True
185,662,15,True
174,643,15,True
176,619,15,True
169,652,15,True
185,646,15,True
179,615,15,True
193,678,15,True
193,653,15,True
174,652,15,True
194,713,15,True
188,659,15,True
176,639,15,True
181,625,15,True
176,649,15,True
164,634,15,True
188,679,15,True
186,658,15,True
194,664,15,True
192,679,15,True
191,648,15,True
186,629,15,True
187,655,15,True
195,676,15,True
164,619,15,True
179,636,15,True
188,627,15,True
186,665,15,True
191,669,15,True
189,647,15,True
175,635,15,True
197,665,15,True
188,649,15,True
189,669,15,True
180,620,15,True
178,633,15,True
186,619,15,True
174,652,15,True
177,650,15,True
183,668,15,True
178,642,15,True
195,662,15,True
186,678,15,True
177,663,15,True
177,629,15,True
188,643,15,True
183,662,15,True
184,638,15,True
178,641,15,True
179,635,15,True
186,660,15,True
173,638,15,True
169,615,15,True
193,657,15,True
184,651,15,True
188,656,15,True
178,646,15,True
175,642,15,True
172,623,15,True
194,651,15,True
178,636,15,True
185,607,15,True
185,645,15,True
181,635,15,True
183,659,15,True
168,602,15,True
165,628,15,True
175,610,15,True
183,700,15,True
175,641,15,True
178,632,15,True
173,634,15,True
199,673,15,True
176,627,15,True
181,626,15,True
177,612,15,True
174,657,15,True
174,610,15,True
174,630,15,True
184,629,15,True
181,662,15,True
182,645,15,True
178,641,15,True
179,648,15,True
193,671,15,True
182,639,15,True
188,664,15,True
177,630,15,True
180,644,15,True
192,642,15,True
187,666,15,True
176,618,15,True
186,665,15,True
187,650,15,True
189,650,15,True
183,662,15,True
185,644,15,True
189,651,15,True
204,702,16,True
181,654,15,True
184,625,15,True
189,674,15,True
168,626,15,True
186,673,15,True
177,625,15,True
176,632,15,True
189,668,15,True
184,649,15,True
177,629,15,True
186,641,15,True
175,629,15,True
182,634,15,True
191,644,15,True
190,645,15,True
191,671,15,True
185,615,15,True
179,634,15,True
192,639,15,True
182,649,15,True
181,645,15,True
178,649,15,True
169,602,15,True
184,633,15,True
184,653,15,True
179,621,15,True
161,571,13,True
179,647,15,True
174,654,15,True
